epoch,recorded_at_utc,edge_loss,det_loss,validation_loss,validation_acc,validation_recall,validation_score,best_score,is_best,train_seconds,validation_seconds,base_seed,effective_seed,fold
142,2026-07-13T01:08:39Z,0.00019711103358012648,0.0035780706751458186,0.0001618032818942916,0.9998490045937258,0.9619553435941903,0.9618100927562667,0.9671237077126845,0,1223.078612683341,21.669358484447002,314159,314159,0
143,2026-07-13T01:29:24Z,0.00019101691796519058,0.003697463576557699,0.00014046626894811175,0.9998516573433971,0.9606546715803165,0.9605121655142562,0.9671237077126845,0,1223.302281443961,21.467269118875265,314159,314159,0
144,2026-07-13T01:50:18Z,0.00020050889496463076,0.0036246687582426503,0.00013102925241299606,0.9998607671604475,0.9597875569044007,0.9596539229574856,0.9671237077126845,0,1231.996359732002,21.45057054515928,314159,314159,0
145,2026-07-13T02:11:12Z,0.00020758420544016002,0.0035573695543347937,0.00015714234584773474,0.9998522205179934,0.9596791675699111,0.9595373466796351,0.9671237077126845,0,1231.825715912506,21.613350798375905,314159,314159,0
146,2026-07-13T02:32:04Z,0.00020755804047271477,0.0036235371998458435,0.0001560527186044619,0.9998500836725118,0.9589204422284847,0.9587766843974325,0.9671237077126845,0,1230.2649857634678,21.846351793035865,314159,314159,0
147,2026-07-13T02:52:56Z,0.00019009636968944088,0.0038307574781995804,0.00013309522927859918,0.9998529338347355,0.9636895729460221,0.9635478468160236,0.9671237077126845,0,1230.300273168832,21.492924155667424,314159,314159,0
148,2026-07-13T03:13:43Z,0.00019643272638775818,0.003466476079547691,0.00014796554765770132,0.9998491981242752,0.9694342076739649,0.9692880151770559,0.9692880151770559,1,1224.7110118186101,21.6536082085222,314159,314159,0
149,2026-07-13T03:34:29Z,0.00020250385275193637,0.003426209071628897,0.00013868822874264775,0.9998484031760982,0.9613050075872535,0.9611592768013024,0.9692880151770559,0,1223.9501999504864,21.987596390768886,314159,314159,0
150,2026-07-13T03:55:18Z,0.0001978211278558973,0.003602686217871692,0.00014264850823864555,0.9998513935725057,0.9671580316496857,0.9670143057497799,0.9692880151770559,0,1226.6416790904477,22.038634032942355,314159,314159,0
151,2026-07-13T04:16:07Z,0.00019274367671791992,0.0035813706607881485,0.000141178509276928,0.9998430860919506,0.9667244743117277,0.9665727817964564,0.9692880151770559,0,1227.459139247425,21.674662563949823,314159,314159,0
152,2026-07-13T04:37:00Z,0.00019084853352393854,0.0035107011660604815,0.00015269226356371847,0.9998318610836759,0.9616301755907218,0.9614684881350934,0.9692880151770559,0,1230.4438438704237,21.645300498232245,314159,314159,0
153,2026-07-13T04:57:51Z,0.00019777083008990092,0.0035405512930026905,0.00013873269252885316,0.9998436883723217,0.9659657489703013,0.9658147572917983,0.9692880151770559,0,1229.1120226476341,21.633347744122148,314159,314159,0
154,2026-07-13T05:18:38Z,0.0001917168904714597,0.003547297297889937,0.00017561013669648435,0.9998348061871054,0.9675915889876436,0.9674317488437341,0.9692880151770559,0,1225.9575562477112,21.66118866018951,314159,314159,0
155,2026-07-13T05:39:23Z,0.00019992679431935048,0.003507452463878433,0.00014219989961456196,0.999837806051587,0.9629308476045957,0.962774666048374,0.9692880151770559,0,1223.265655996278,21.463794408366084,314159,314159,0
156,2026-07-13T06:00:10Z,0.00018947056703977707,0.0034766028582905,0.0001575562334243802,0.9998323001086645,0.9619553435941903,0.9617940237876,0.9692880151770559,0,1224.9791383044794,21.414167954586446,314159,314159,0
157,2026-07-13T06:20:52Z,0.00019006908473948364,0.003452514473353038,0.00015254770758900082,0.9998483207576254,0.9643399089529591,0.9641936386061775,0.9692880151770559,0,1220.3201750237495,21.61104242503643,314159,314159,0
158,2026-07-13T06:41:31Z,0.00019184500250073576,0.003475003919627464,0.00014477579126428747,0.999856841014109,0.9650986342943855,0.9649604717526151,0.9692880151770559,0,1217.6137636490166,21.07087667938322,314159,314159,0
159,2026-07-13T07:02:11Z,0.00019752907965661981,0.0033935896568928303,0.00014277615936128695,0.9998524988729756,0.9636895729460221,0.9635474276479108,0.9692880151770559,0,1217.69135869015,21.624203398823738,314159,314159,0
160,2026-07-13T07:22:53Z,0.00018763533910583783,0.0033927670343790327,0.0001790075363559329,0.9998244426181457,0.9666160849772383,0.9664463883881015,0.9692880151770559,0,1219.9068503985181,21.561861283145845,314159,314159,0
161,2026-07-13T07:43:40Z,0.00018749110844350287,0.0035078154978812172,0.00016178593809627496,0.9998324325974779,0.9655321916323434,0.9653703999109401,0.9692880151770559,0,1224.9551569083706,21.954289246350527,314159,314159,0
162,2026-07-13T08:04:23Z,0.0001894092122018446,0.003388357568153765,0.00014034635773313293,0.9998442910649926,0.9649902449598959,0.9648399873565607,0.9692880151770559,0,1221.2875341624022,21.83491479884833,314159,314159,0
163,2026-07-13T08:25:12Z,0.0001932027861081743,0.0033123031982676787,0.00013386149134862413,0.9998506375399135,0.9668328636462172,0.9666884551112106,0.9692880151770559,0,1227.2661614557728,21.45487299747765,314159,314159,0
164,2026-07-13T08:46:01Z,0.00019086808175606567,0.003420133666701572,0.00014499990828707794,0.9998506459185591,0.9657489703013223,0.9656047317509605,0.9692880151770559,0,1226.5917412890121,21.507114697247744,314159,314159,0
165,2026-07-13T09:06:40Z,0.00018620161268943994,0.0034779842202953175,0.00014536118183532565,0.9998472469772858,0.9678083676566226,0.9676605320030549,0.9692880151770559,0,1217.8859432060272,21.444039252586663,314159,314159,0
166,2026-07-13T09:27:20Z,0.00018714099595958247,0.0033588952200884837,0.000154208000971921,0.999854626075536,0.9681335356600911,0.967992794288607,0.9692880151770559,0,1217.8119102101773,21.648316013626754,314159,314159,0
167,2026-07-13T09:48:07Z,0.00019321768747511902,0.0034744764280948016,0.00011268980908680476,0.9998820285693099,0.9636895729460221,0.9635758851083605,0.9692880151770559,0,1225.133515164256,21.550690300762653,314159,314159,0
168,2026-07-13T10:08:48Z,0.00018706012642516492,0.0033004044214425955,0.00013617906763724403,0.9998595939255748,0.9695425970084544,0.9694064673384204,0.9694064673384204,1,1219.357701365836,21.670508961193264,314159,314159,0
169,2026-07-13T10:29:29Z,0.0001859338712508821,0.003446456686238976,0.00017857911032785904,0.9998231637790985,0.9665076956427487,0.9663367820743791,0.9694064673384204,0,1219.7204974684864,21.253279235213995,314159,314159,0
170,2026-07-13T10:50:13Z,0.00018876827725963546,0.0033416653155599265,0.00015503214955125966,0.9998337646501295,0.9653154129633644,0.965154943417955,0.9694064673384204,0,1222.2264188537374,21.229729450307786,314159,314159,0
171,2026-07-13T11:10:59Z,0.00018153957666772237,0.003531159105146475,0.00014297635728257764,0.9998450411747736,0.9643399089529591,0.9641904759735488,0.9694064673384204,0,1223.610641199164,21.79342761170119,314159,314159,0
172,2026-07-13T11:31:41Z,0.00018859730067845835,0.003311847602023696,0.00012967449591757302,0.9998612015562123,0.9600043355733796,0.9598710884655726,0.9694064673384204,0,1220.5450804941356,21.478886594995856,314159,314159,0
173,2026-07-13T11:52:31Z,0.00019128107084210043,0.00328233197384499,0.0001396823221614929,0.9998418224030232,0.96835031432907,0.9681971430033177,0.9694064673384204,0,1227.3582996260375,22.365974864922464,314159,314159,0
174,2026-07-13T12:13:17Z,0.00018868346129454256,0.003495534781533664,0.00013332050850715094,0.9998506014234294,0.9635811836115327,0.9634372259542909,0.9694064673384204,0,1223.9308050181717,21.266085132956505,314159,314159,0
175,2026-07-13T12:34:05Z,0.00018133783871723624,0.003230272581348126,0.00015849934407080601,0.9998524708337382,0.9692174290049859,0.9690744411657584,0.9694064673384204,0,1226.7188175609335,21.62212143652141,314159,314159,0
176,2026-07-13T12:54:50Z,0.00018061049709674844,0.0033502746960874575,0.000150810946015551,0.9998394674465262,0.972143941036202,0.9719878802870034,0.9719878802870034,1,1222.849603222683,21.521358177997172,314159,314159,0
177,2026-07-13T13:15:23Z,0.00018248621112111954,0.0032828493410718535,0.00015281334623098774,0.9998363922528459,0.9624972902666378,0.9623398182533354,0.9719878802870034,0,1211.5197825757787,21.76454114448279,314159,314159,0
178,2026-07-13T13:36:12Z,0.00018398788257653845,0.0035171557780951236,0.00013443526493782276,0.9998544327479295,0.9678083676566226,0.967667486452012,0.9719878802870034,0,1226.1502909036353,21.7148480117321,314159,314159,0
179,2026-07-13T13:56:48Z,0.00017546922938641956,0.0031563037659773966,0.00015851844644333826,0.9998452201933679,0.9649902449598959,0.9648408839563791,0.9719878802870034,0,1214.494447263889,21.547347004525363,314159,314159,0
180,2026-07-13T14:17:54Z,0.00019419407916195167,0.003336035929673635,0.00012978251167467314,0.9998704558055662,0.9678083676566226,0.9676829937012682,0.9719878802870034,0,1244.1919445255771,21.880108332261443,314159,314159,0
181,2026-07-13T14:38:38Z,0.0001857985862852819,0.0032971485830766184,0.0001449824739558976,0.999848739345753,0.9632560156080642,0.9631103128729359,0.9719878802870034,0,1222.2064683428034,21.522338180802763,314159,314159,0
182,2026-07-13T14:59:22Z,0.0001884486562707638,0.003248365324174488,0.0001561122829921144,0.9998537295237429,0.9595707782354216,0.9594304213606867,0.9719878802870034,0,1222.099404109642,21.33570323884487,314159,314159,0
183,2026-07-13T15:20:17Z,0.00018914922283308795,0.0032142508812857077,0.00015075007979938992,0.9998452090577958,0.9659657489703013,0.9658162262218812,0.9719878802870034,0,1232.9642205135897,21.726454905234277,314159,314159,0
184,2026-07-13T15:40:51Z,0.00018764331573832584,0.0032471645808246356,0.00013962952966422692,0.9998511763592768,0.963906351615001,0.9637628995624374,0.9719878802870034,0,1212.3798052109778,21.489349248819053,314159,314159,0
185,2026-07-13T16:01:43Z,0.00018556536447849229,0.003132698451330984,0.00014721639438803211,0.9998568661049784,0.9662909169737698,0.9661526079910993,0.9719878802870034,0,1230.1420684922487,21.354440924711525,314159,314159,0
186,2026-07-13T16:22:23Z,0.00018960159182212328,0.0032773037943925314,0.00015012961721064532,0.9998424728048524,0.9717103836982441,0.9715573128870043,0.9719878802870034,0,1218.0395385874435,21.59815537650138,314159,314159,0
187,2026-07-13T16:43:06Z,0.00018751308768636798,0.003235466692200587,0.00016264642184360097,0.9998386382973613,0.9696509863429439,0.9694945218088223,0.9719878802870034,0,1221.98710172344,21.500087259337306,314159,314159,0
