adjusted_edge_jaccard,config,div_fn,div_fp,div_jaccard,div_tp,edge_fn,edge_fp,edge_jaccard,edge_tp,edges_fragmented,edges_lost_to_detection,edges_recovered,missed_gt_nodes,safe_divisions_added,spurious_pred_nodes,stem,t_pred,t_true,weight,wrong_association_edges
0.7923711179054128,minlen5,0,1,0.5,1,26,34,0.8070739549839229,251,18,8,251,5,26,22340,44b6_267148e4,22615,19130.0,311,0
0.8807797875656728,minlen5,0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,40,40609,44b6_2a2eff9f,40823,56367.0,231,0
0.9759524336539426,minlen5,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,11,8309,44b6_341df25f,8523,7436.0,209,0
0.9819309346453736,minlen5,0,0,1.0,1,11,7,0.980110497237569,887,5,6,887,6,4,4994,6bba_062c8d37,5918,6030.0,905,0
0.8065505274466735,minlen5,2,0,0.0,0,39,20,0.8383561643835616,306,7,32,306,26,6,29303,6bba_07e24132,29636,21485.0,365,0
0.9940660148600595,minlen5,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,4,7193,6bba_085bf656,8386,8463.0,1170,0
0.8919925496619908,minlen5,4,0,0.0,0,92,131,0.8886113886113887,1779,77,15,1779,11,24,27994,6bba_09961292,29933,31117.0,2002,0
0.9472002108199954,combo(tight55+relaxed9),1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,24,44171,44b6_12dfb391,44953,58672.0,806,0
0.8223773491126289,combo(tight55+relaxed9),0,0,1.0,1,22,28,0.8360655737704918,255,16,6,255,4,32,21986,44b6_267148e4,22262,19130.0,305,0
0.8818837769819727,combo(tight55+relaxed9),0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,40,39883,44b6_2a2eff9f,40097,56367.0,231,0
0.9774442065111921,combo(tight55+relaxed9),0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,11,8197,44b6_341df25f,8411,7436.0,209,0
0.9801325600359163,combo(tight55+relaxed9),0,0,1.0,1,14,7,0.9767955801104973,884,5,9,884,9,3,4903,6bba_062c8d37,5824,6030.0,905,0
0.8176488029037348,combo(tight55+relaxed9),2,0,0.0,0,38,17,0.8480662983425414,307,6,32,307,26,9,28858,6bba_07e24132,29191,21485.0,362,0
0.9935690325486749,combo(tight55+relaxed9),1,0,0.0,0,7,3,0.9914602903501281,1161,1,6,1161,5,3,7090,6bba_085bf656,8283,8463.0,1171,0
0.896608261652264,combo(tight55+relaxed9),4,1,0.0,0,91,123,0.892678034102307,1780,74,17,1780,13,27,27810,6bba_09961292,29747,31117.0,1994,0
